Year,Quarter,Real terms price indices: Solid fuels [Note 3],Real terms price indices: Gas [Note 3],Real terms price indices: Electricity [Note 3],Real terms price indices: Liquid fuels [Note 3],"Real terms price indices: Domestic fuels [Note 1, 3]","Real terms price indices: Motor fuel & oil [Note 2, 3]",Real terms price indices: All Items CPI 2025=100 [Note 3]
1990,Jan to Mar,53.73413101294787,45.97156983691785,49.61783488538093,64.78705025591422,46.84142508312357,67.76953083232938,97.27444020851654
1990,Apr to June,50.96459969782361,47.71423916022155,51.02166340031079,57.69004434069994,47.666310784928434,71.32007886226711,98.79622556341107
1990,July to Sept,50.045049957824105,46.89961127906815,51.69913588431678,67.28640181072471,47.99178308685879,73.80417921453135,97.17555861852306
1990,Oct to Dec,52.794808071618085,46.734290138987944,51.17114543626931,88.58803940735159,48.58123797933174,75.92643683869727,98.05904083346269
1991,Jan to Mar,53.07693715568625,46.982220310413844,50.261963429491594,73.18503445290382,47.850622286738826,68.17430437020833,96.65179423921805
1991,Apr to June,50.574271604428404,46.98600467286426,51.93986473922174,57.9446989003252,47.99558978959247,75.04820234854324,99.38584754497111
1991,July to Sept,50.65745352676301,47.26140382228179,54.10875105656121,57.964556117750874,49.059865221782886,74.65672247438881,99.1973459802292
1991,Oct to Dec,52.710747847757034,46.711344856987516,53.47899820936571,57.88825512102542,48.7440791957866,73.06263155760779,99.17160522985185
1992,Jan to Mar,52.88694735028838,46.22370558088073,52.92070856787555,51.51113570988228,47.98267893981266,69.42943267185092,98.45545381874972
1992,Apr to June,51.664057318218056,46.04027777429634,53.16707503696115,50.569560388225845,48.043809333625035,73.26384124567599,99.81307490503356
1992,July to Sept,50.8532509048981,45.3607667251384,53.91258574968095,49.150801383300156,47.97227990930852,72.45229773365473,99.7669380679563
1992,Oct to Dec,52.729892824043624,43.943013274420395,53.611055806410356,55.77430466159701,47.57876646946983,74.71548649609464,99.84185935554805
1993,Jan to Mar,51.85346611739106,42.66679330665607,52.57633205657206,55.705420569822195,46.53767861262353,73.27343527745424,98.07002900216277
1993,Apr to June,50.46400804883918,42.80652950471542,52.301501185402344,54.44372829680921,46.32051361624391,78.06424012739497,100.25940158563296
1993,July to Sept,49.66132658702449,42.363646052275634,51.317984761142114,51.30790334137534,45.597437338191114,76.5636904776938,99.3761727775032
1993,Oct to Dec,51.08816117381936,41.92284322237004,50.6745618173923,52.75407947296564,45.12298621586998,75.9384474623031,98.6470792456901
1994,Jan to Mar,51.1273836829912,41.72824519394063,49.89463864633727,49.834473248576025,44.673354395114664,76.95093872782869,98.18917788080157
1994,Apr to June,53.72405128323021,45.28635850870002,53.51841063532565,53.74228793218225,48.13760335880887,77.99283762803293,100.16838167743015
1994,July to Sept,53.15526908802944,45.156961017889905,53.692887214179116,52.460545396865534,48.00005895706489,79.3082947942167,99.73014118394734
1994,Oct to Dec,54.06209473907012,44.5355985655456,52.631179242707205,51.182355243531596,47.220929756899835,77.71129455719097,98.65772003676281
1995,Jan to Mar,53.912964869985345,44.68774899455143,52.48599654292235,50.34767496794878,47.327307726999976,80.0185205891814,99.13318422187267
1995,Apr to June,52.137541969370574,44.744965700255435,51.96604058435318,49.95105182218795,46.9544780842603,81.05597833938756,99.8356867774329
1995,July to Sept,51.369001321162436,44.43071276541856,51.70681248441764,49.600235492626624,46.624707297518405,80.15548481451277,99.28182298537651
1995,Oct to Dec,52.09960617470214,43.91600458938314,51.003299278012335,50.37620953279088,46.199794219895125,78.40846260343405,98.56847934595208
1996,Jan to Mar,52.52076014346571,43.49626275270143,50.51581826247033,54.44276651332712,45.872334588426654,79.92883188689575,98.20319588096861
1996,Apr to June,50.41289579925198,42.711597878639935,49.706170460978875,53.46062865075672,45.04480579940445,78.32772722260738,97.56445144479217
1996,July to Sept,49.913810368065974,42.39718766011239,49.34027153204605,54.76210995217797,44.82444719922371,79.17341513359912,96.84625634035152
1996,Oct to Dec,51.96144312092591,42.50177938947346,48.551648098237195,61.6940021723713,44.71202424110675,84.43819189226731,97.7897079843758
1997,Jan to Mar,53.06107379134436,43.187946728615735,48.71879357762468,58.17421084000076,45.09397044125134,86.92824668211946,99.3684678548333
1997,Apr to June,51.47207008789718,42.81894560782014,48.245819219693544,50.192576499972,44.50737719974345,85.6486348578555,99.67509677626016
1997,July to Sept,49.46034838503234,41.521292371049576,45.97459344637097,47.03791283094826,42.65460433153132,89.18710293200851,97.66596297900404
1997,Oct to Dec,52.44619980548172,41.82446853998548,45.64614201878025,49.99185185716159,42.87163387232059,91.84865838484039,100.65720314066442
1998,Jan to Mar,51.84102892021091,40.693869088250814,45.11943624644296,42.48644302050572,41.93086975935179,89.0459349333653,99.35480203545829
1998,Apr to June,50.94105275445183,40.590236328894925,44.90362612219711,39.900747802603235,41.71285252741343,93.56040337872535,100.22634003319473
1998,July to Sept,50.56360377933209,40.289481981000726,43.869796143747955,37.40481877919255,41.072549886346465,93.02403549538671,99.34418217195872
1998,Oct to Dec,52.22988821290012,40.00879683864248,43.56416799043386,37.27275699745887,40.89605022219163,90.8181905813654,99.20630522022468
1999,Jan to Mar,52.13491205570728,40.19041353073864,43.48494979930603,35.537169852635955,40.821683804277114,90.18656225509197,99.02590595150119
1999,Apr to June,51.2238276372437,39.68837247849499,43.25435693515931,40.034182694460426,40.58902159665899,97.97482076870746,99.69139185266019
1999,July to Sept,51.00994142194658,39.81541320028761,43.293515162072175,46.834666370264394,40.82840478663198,101.08778795696205,99.73384536348334
